인증구분,건물주용도,건물용도,에너지자립률,지역,건축물명,업체명,제로에너지건축물 인증등급(ZEB),인증일자
본인증,제1종 근린생활시설,주거용 이외,45.57,대전,전민복합문화센터,유성구청,4, 2023-12-29
예비인증,교육연구시설,주거용 이외,36.09,충북,세포주 특성분석 지원센터,오송첨단의료산업진흥재단,5, 2023-12-29
예비인증,교육연구시설,주거용 이외,32.80,경기,(가칭)세교2-5초등학교 신축공사,경기도화성오산교육지원청,5, 2023-12-29
예비인증,제1종 근린생활시설,주거용 이외,34.78,울산,언양건강돌봄문화센터,울주군청,5, 2023-12-29
예비인증,교정 및 군사 시설,주거용 이외,44.42,대구,(D026)1여단 방포고 간부교육생 숙소 신축공사,국방시설본부,4, 2023-12-29
본인증,공동주택,주거용,36.56,경기,화성동탄 로렌하우스(제로에너지 임대리츠2호),(주)제로에너지임대리츠2호위탁관리부동산투자회사,5, 2023-12-29
예비인증,공동주택,주거용,20.00,서울,서울 방학역 도심 공공주택,한국토지주택공사,5, 2023-12-29
본인증,교육연구시설,주거용 이외,33.76,부산,온샘초등학교,부산광역시교육청,5, 2023-12-29
예비인증,업무시설,주거용 이외,60.42,전북,전주 제1산단 복합문화센터,전주시청,3, 2023-12-29
본인증,의료시설,주거용 이외,60.80,대전,대전보훈병원 재활센터 및 국가지정입원치료동,한국보훈복지의료공단,3, 2023-12-29
본인증,교육연구시설,주거용 이외,51.12,경기,성남중앙초 체육관 및 급식실,성남교육지원청,4, 2023-12-29
예비인증,교정 및 군사 시설,주거용 이외,22.70,경기,(B533)2기갑여단 16전차대대 실내체육관,국방시설본부,5, 2023-12-28
예비인증,교정 및 군사 시설,주거용 이외,22.71,대전,(B533)1115공병단본부 실내체육관,국방시설본부,5, 2023-12-28
예비인증,문화 및 집회시설,주거용 이외,47.08,강원,홍천군 목재문화체험장,홍천군청,4, 2023-12-28
예비인증,운동시설,주거용 이외,33.91,전북,쉴랜드 특화 건강진흥형 종합체육관,순창군청,5, 2023-12-28
예비인증,교육연구시설,주거용 이외,27.28,전남,영암 트로트 아카데미,영암군청,5, 2023-12-28
예비인증,공동주택,주거용,25.83,서울,서울 연신내역 도심 공공주택,한국토지주택공사,5, 2023-12-28
예비인증,교정 및 군사 시설,주거용 이외,38.99,경기,17사단 전차대대 행정시설,국방시설본부,5, 2023-12-28
본인증,문화 및 집회시설,주거용 이외,68.78,전남,순천시 반려동물문화센터,순천시청,3, 2023-12-28
예비인증,업무시설,주거용 이외,30.06,서울,위례트램 종합관리동,서울특별시 도시기반시설본부,5, 2023-12-28
예비인증,공동주택,주거용,20.71,서울,서울 쌍문역 동측 도심 공공주택 ,한국토지주택공사,5, 2023-12-28
예비인증,공동주택,주거용,27.74,경기,군포대야미 A-1BL 공공임대(선택형)주택,한국토지주택공사,5, 2023-12-28
예비인증,교육연구시설,주거용 이외,25.15,전남,완도신지중 본관동 재난위험시설 개축공사 설계용역,전라남도완도교육지원청,5, 2023-12-27
예비인증,노유자시설,주거용 이외,42.04,부산,영도구 가족생활 지원시설,영도구청,4, 2023-12-27
예비인증,교정 및 군사 시설,주거용 이외,26.38,경기,(B533)1사단 본부 실내체육관,국방시설본부,5, 2023-12-27
예비인증,교정 및 군사 시설,주거용 이외,21.84,경기,(B533)25사단 70여단 3대대 실내체육관,국방시설본부,5, 2023-12-27
본인증,교육연구시설,주거용 이외,62.68,울산,고기능성 융복합 화학소재 지원센터 건립공사,울산광역시,3, 2023-12-27
본인증,교정 및 군사 시설,주거용 이외,77.09,경기,화성 직업훈련교도소 대체복무 생활관 증축공사,(주)대기이엔지,3, 2023-12-27
예비인증,교육연구시설,주거용 이외,20.51,전남,용산초중 그린스마트 미래학교 본관동,장흥교육지원청,5, 2023-12-27
본인증,업무시설,주거용 이외,76.54,경남,석동행정복지센터,창원시 진해구청,3, 2023-12-27
예비인증,"임대주택 (영구, 국민, 공공)",주거용,26.27,경남,거창숙박시설정비사업 공공임대주택,한국토지주택공사,5, 2023-12-27
본인증,교육연구시설,주거용 이외,44.05,인천,산곡북초등학교 증축공사 ,인천광역시북부교육지원청,4, 2023-12-27
예비인증,제1종 근린생활시설,주거용 이외,28.02,세종,금남119지역대 이전신축사업,세종특별자치시소방본부,5, 2023-12-27
본인증,교정 및 군사 시설,주거용 이외,26.78,경기,부천 OO부대 현대화사업 158공병대대 병영식당 및 다목적체육관,부천시청,5, 2023-12-27
본인증,교육연구시설,주거용 이외,23.28,경북,경상북도 소방학교 제3생활관,경상북도개발공사,5, 2023-12-27
본인증,교정 및 군사 시설,주거용 이외,65.55,경기,부천 OO부대 현대화사업 경기남부시설단 통합사무실,부천시청,3, 2023-12-27
본인증,교정 및 군사 시설,주거용 이외,57.85,경기,부천 OO부대 현대화사업 158공병대대+경기남부시설단 간부숙소,부천시청,4, 2023-12-27
예비인증,제1종 근린생활시설,주거용 이외,21.85,경남,부림 봉수 농공단지 복합문화센터,의령군청,5, 2023-12-27
본인증,교육연구시설,주거용 이외,67.88,경기,양평 동초등학교 주9동 증축공사,(주)더파인피엠씨,3, 2023-12-27
본인증,교정 및 군사 시설,주거용 이외,30.53,경남,실내체육관,국방시설본부,5, 2023-12-27
예비인증,"임대주택 (영구, 국민, 공공)",주거용,27.22,제주,마음에온 연동 건설공사_주거,제주특별자치도개발공사,5, 2023-12-26
예비인증,제2종 근린생활시설,주거용 이외,61.41,제주,마음에온 연동 건설공사_비주거,제주특별자치도개발공사,3, 2023-12-26
예비인증,교육연구시설,주거용 이외,50.09,세종,수자원위성센터,한국수자원공사,4, 2023-12-26
예비인증,제1종 근린생활시설,주거용 이외,46.65,충남,논산 공공산후조리원,충청남도 논산시,4, 2023-12-26
본인증,제1종 근린생활시설,주거용 이외,50.77,경기,어울리기 문화발전소,광명시청,4, 2023-12-26
예비인증,교육연구시설,주거용 이외,55.12,경북,고령고등학교 생활관,경상북도교육청,4, 2023-12-26
본인증,공장,주거용 이외,112.44,경기,eX. Home 수원,삼성전자 주식회사,1, 2023-12-26
본인증,교육연구시설,주거용 이외,24.97,충북,다정관,청람에듀빌6차 주식회사,5, 2023-12-26
예비인증,교육연구시설,주거용 이외,65.47,강원,상상어울림센터,춘천시청,3, 2023-12-26
본인증,업무시설,주거용 이외,42.69,충남,한국전력공사 논산지사 사옥,한국전력공사,4, 2023-12-22
예비인증,공동주택,주거용,23.10,경기,구리갈매역세권 A-4BL 공동주택 건설공사,한국토지주택공사,5, 2023-12-22
본인증,교육연구시설,주거용 이외,49.61,전남,전남 고흥 스마트팜 혁신밸리 지원센터,고흥군청,4, 2023-12-22
본인증,교육연구시설,주거용 이외,30.97,인천,인천아람초등학교,인천광역시교육청,5, 2023-12-22
예비인증,제1종 근린생활시설,주거용 이외,41.62,부산,사상 민간공원 조성 특례 사업(운산 커뮤니티센터),주식회사 사상파크홀딩스,4, 2023-12-22
본인증,제1종 근린생활시설,주거용 이외,32.26,대구,두산동 행정복지센터,수성구청,5, 2023-12-22
본인증,교육연구시설,주거용 이외,26.49,경기,이천중학교 급식실 증축,경기도이천교육지원청,5, 2023-12-22
예비인증,교육연구시설,주거용 이외,39.74,부산,부산진고등학교 교사 개축공사,부산광역시교육청,5, 2023-12-22
예비인증,업무시설,주거용 이외,23.46,서울,이문2동 복합청사 및 공영주차장,동대문구청,5, 2023-12-22
예비인증,묘지 관련 시설,주거용 이외,112.90,충북,옥천군 공설장사시설 봉안당(주 2동),옥천군청,1, 2023-12-22
예비인증,문화 및 집회시설,주거용 이외,42.45,경기,통일플러스센터,경기도청 북부청사,4, 2023-12-22
본인증,업무시설,주거용 이외,35.73,전남,장흥소방서,전라남도소방본부,5, 2023-12-22
본인증,교육연구시설,주거용 이외,31.40,울산,울산과학기술원 산학협력관,울산미래세움터(주),5, 2023-12-22
예비인증,업무시설,주거용 이외,56.90,대전,사회적경제 혁신타운,대전광역시,4, 2023-12-22
예비인증,교정 및 군사 시설,주거용 이외,29.17,서울,1사단 대능리 간부숙소 신축 설계용역,국방시설본부,5, 2023-12-22
본인증,교육연구시설,주거용 이외,44.34,대전,한국과학기술원 메타융합관 건립 신축공사,한국과학기술원,4, 2023-12-22
본인증,제1종 근린생활시설,주거용 이외,42.63,대구,송현희망센터,달서구청,4, 2023-12-22
예비인증,공동주택,주거용,28.37,경기,남양주왕숙2 A-10BL 공공주택,한국토지주택공사,5, 2023-12-22
예비인증,교육연구시설,주거용 이외,28.88,광주,월봉서원 문화예술 체험복합관 건립사업,광주광역시종합건설본부,5, 2023-12-21
예비인증,교육연구시설,주거용 이외,23.58,경기,(가칭)동탄9중학교 교사 신축공사,경기도화성오산교육지원청,5, 2023-12-21
예비인증,업무시설,주거용 이외,49.09,제주,제주특별자치도개발공사 사옥 신축공사,제주특별자치도개발공사,4, 2023-12-21
예비인증,업무시설,주거용 이외,23.37,전남,세계유산 화순고인돌유적 방문자센터 건립,화순군청,5, 2023-12-21
예비인증,교육연구시설,주거용 이외,22.43,전남,"금일초 그린스마트 미래학교 개축공사(본관,특별교실)",전라남도교육청,5, 2023-12-21
예비인증,제1종 근린생활시설,주거용 이외,55.83,전남,강진군 보훈회관,강진군청,4, 2023-12-21
예비인증,제1종 근린생활시설,주거용 이외,71.18,전북,근대문화체험 및 주민복지공간,익산시청,3, 2023-12-21
예비인증,교육연구시설,주거용 이외,62.30,서울,서울대학교 물리천문학부 연구동(56-1동) 증축사업,서울대학교,3, 2023-12-21
예비인증,관광 휴게시설,주거용 이외,46.54,충북,초강천 전망대,영동군청,4, 2023-12-21
예비인증,업무시설,주거용 이외,34.08,전북,조촌동 행정복지센터 신축공사,군산시청,5, 2023-12-21
본인증,단독주택,주거용,46.27,전남,"전남 구례 귀농,귀촌주택",주식회사 양주옥정전남구례귀농귀촌주택위탁관리부동산투자회사,4, 2023-12-21
예비인증,교육연구시설,주거용 이외,36.44,경기,팽성(청담중)국민체육센터,평택시 푸른도시사업소,5, 2023-12-21
예비인증,자동차 관련 시설,주거용 이외,68.87,경북,영천화물자동차 공영차고지,영천시청,3, 2023-12-20
예비인증,제1종 근린생활시설,주거용 이외,31.25,전남,강진 시간여행자의 집,강진군청,5, 2023-12-20
본인증,노유자시설,주거용 이외,26.59,전남,도양노인건강복지타운,고흥군청,5, 2023-12-20
예비인증,업무시설,주거용 이외,33.83,전북,전주 역세권 도시재생뉴딜 혁신관광 소셜플랫폼 조성사업,전주시청,5, 2023-12-20
예비인증,공장,주거용 이외,27.74,대구,경북대 캠퍼스혁신파크 도시첨단산업단지 HUB동,한국토지주택공사,5, 2023-12-20
예비인증,"임대주택 (영구, 국민, 공공)",주거용,26.76,경기,남양주왕숙 A-22BL 공동주택,한국토지주택공사,5, 2023-12-20
예비인증,교정 및 군사 시설,주거용 이외,36.31,경기,22-육-OO부대 설계용역(A-092)-9사단 A대대 행정시설(병영생활관행정동) 신축,국방시설본부,5, 2023-12-19
예비인증,업무시설,주거용 이외,20.42,경기,부흥동 행정복지센터,안양시청,5, 2023-12-19
예비인증,교정 및 군사 시설,주거용 이외,41.71,부산,(D026) 5비 김해기지 간부숙소 신축공사,국방시설본부,4, 2023-12-19
예비인증,교육연구시설,주거용 이외,41.12,서울,"경인초등학교 급식실 및 학생식당, 기타시설 증축공사",서울특별시강서양천교육지원청,4, 2023-12-19
예비인증,제1종 근린생활시설,주거용 이외,28.11,전남,나로119안전센터,고흥소방서,5, 2023-12-19
본인증,교육연구시설,주거용 이외,63.23,경남,양산지혜마루,양산시청,3, 2023-12-19
예비인증,제1종 근린생활시설,주거용 이외,20.97,경남,가북면 한마음체육관,거창군,5, 2023-12-19
예비인증,교육연구시설,주거용 이외,46.06,인천,인천인주초 다목적강당 및 급식소 증축공사,인천광역시남부교육지원청,4, 2023-12-19
예비인증,교육연구시설,주거용 이외,38.39,광주,평동초 그린스마트스쿨 개축공사(초등학교),광주광역시교육청,5, 2023-12-18
예비인증,교육연구시설,주거용 이외,42.71,전북,삼봉지구 도서관 건립사업 설계용역,완주군청,4, 2023-12-18
예비인증,운동시설,주거용 이외,22.85,경북,신녕면 기초생활거점 조성사업 설계용역,영천시청,5, 2023-12-18
본인증,교육연구시설,주거용 이외,40.05,전남,전남대학교 공정혁신 시뮬레이션 센터,전남대학교산학협력단,4, 2023-12-18
본인증,교육연구시설,주거용 이외,49.45,충남,충청남도 수산종자연구센터,충남 종합건설사업소,4, 2023-12-18
예비인증,업무시설,주거용 이외,156.10,경북,하양119안전센터,경상북도 소방본부,1, 2023-12-18
예비인증,교육연구시설,주거용 이외,49.02,경북,안동여자고등학교,경상북도교육청,4, 2023-12-18
예비인증,운동시설,주거용 이외,20.15,충남,남면 실내체육관,태안군,5, 2023-12-18
예비인증,업무시설,주거용 이외,73.27,경북,산동읍 행정복지센터 건립공사,구미시,3, 2023-12-18
예비인증,제1종 근린생활시설,주거용 이외,49.79,충남,낙동119안전센터,경상북도 소방본부,4, 2023-12-18
예비인증,제1종 근린생활시설,주거용 이외,48.22,광주,벚꽃어울림센터,서구청,4, 2023-12-18
예비인증,제1종 근린생활시설,주거용 이외,44.13,경북,용문119안전센터,경상북도 소방본부,4, 2023-12-18
예비인증,업무시설,주거용 이외,34.38,경남,한국국토정보공사 통영지사 사옥 신축공사,한국국토정보공사 경남지역본부,5, 2023-12-18
예비인증,업무시설,주거용 이외,38.99,충북,옥천경찰서 신축사업,충청북도경찰청,5, 2023-12-18
본인증,업무시설,주거용 이외,33.88,세종,세종테크노파크,(재)세종테크노파크,5, 2023-12-18
예비인증,관광 휴게시설,주거용 이외,26.63,대전,보문산 전망대,대전도시공사,5, 2023-12-18
예비인증,"임대주택 (영구, 국민, 공공)",주거용,28.45,경기,부천대장 A9BL 공동주택,한국토지주택공사,5, 2023-12-18
예비인증,업무시설,주거용 이외,44.34,경기,용이동 행정복지센터,평택시 푸른도시사업소,4, 2023-12-18
예비인증,교육연구시설,주거용 이외,47.13,대구,대구달성초등학교 그린스마트 미래학교,대구광역시서부교육지원청,4, 2023-12-15
예비인증,교육연구시설,주거용 이외,36.80,제주,동홍초 다목적체육관 증축사업,서귀포시교육지원청,5, 2023-12-15
본인증,업무시설,주거용 이외,27.25,경북,포항시 환경관리원 복지회관,포항시 건설교통사업본부,5, 2023-12-15
예비인증,업무시설,주거용 이외,65.16,경북,경주우체국,우정사업조달센터,3, 2023-12-15
예비인증,교정 및 군사 시설,주거용 이외,29.66,경기,(B548) 73사단 작전지휘시설,국방시설본부,5, 2023-12-15
예비인증,제1종 근린생활시설,주거용 이외,42.31,강원,인제군 의용소방대 통합건물 신축공사,인제군청,4, 2023-12-15
예비인증,교육연구시설,주거용 이외,36.43,전북,(가칭)군산신역세권유치원,전라북도교육청,5, 2023-12-15
예비인증,업무시설,주거용 이외,44.69,인천,인천지검 북부지청,법무부,4, 2023-12-14
본인증,노유자시설,주거용 이외,34.89,충북,영동군 치매전담요양시설 및 주야간보호시설,영동군청,5, 2023-12-14
예비인증,교육연구시설,주거용 이외,23.56,강원,양양 군립도서관,양양군청,5, 2023-12-14
예비인증,자동차 관련 시설,주거용 이외,25.50,전북,김제 특장차 검사지원센터,한국교통안전공단,5, 2023-12-14
예비인증,교육연구시설,주거용 이외,22.03,전남,금천초등학교 본관동,전라남도나주교육지원청,5, 2023-12-14
예비인증,교육연구시설,주거용 이외,36.26,강원,강원대학교 동물실험센터,강원대학교,5, 2023-12-14
예비인증,제2종 근린생활시설,주거용 이외,25.25,경북,농산물 가공 종합지원센터,경주시청,5, 2023-12-14
예비인증,업무시설,주거용 이외,65.01,충남,한국농어촌공사 청양지사,한국농어촌공사,3, 2023-12-14
예비인증,교육연구시설,주거용 이외,33.55,대전,충남대학교 스포츠콤플렉스,충남대학교,5, 2023-12-13
예비인증,교정 및 군사 시설,주거용 이외,37.41,경기,661포병대대 행정시설 (A038),국방시설본부,5, 2023-12-13
예비인증,교육연구시설,주거용 이외,58.80,대전,카이스트 첨단의과학 동물실험동 신축공사,한국과학기술원,4, 2023-12-13
본인증,운동시설,주거용 이외,32.57,강원,척산생활체육관,속초시청,5, 2023-12-13
예비인증,노유자시설,주거용 이외,34.91,서울,청운 어린이집 신축공사,종로구청,5, 2023-12-13
예비인증,제1종 근린생활시설,주거용 이외,39.27,경남,봉수면 기초생활거점,한국농어촌공사 경남지역본부,5, 2023-12-13
예비인증,업무시설,주거용 이외,50.87,경기,신평동 행정복지센터 신축공사,합정주공835번지일대주택재건축정비사업조합,4, 2023-12-12
예비인증,제1종 근린생활시설,주거용 이외,48.36,경북,춘양 의양지구 도시재생 인정사업 (늘봄춘양 건립),봉화군청,4, 2023-12-12
예비인증,운동시설,주거용 이외,41.74,충남,부여 카누종합훈련센터 건립사업,부여군청,4, 2023-12-12
본인증,운동시설,주거용 이외,21.77,경북,도봉 국민체육센터,구미시청,5, 2023-12-12
본인증,공동주택,주거용,114.53,세종,조치원읍 상리 친환경 에너지 자립마을(별동),세종특별자치시,1, 2023-12-12
본인증,공동주택,주거용,76.92,세종,조치원읍 상리 친환경 에너지 자립마을(본동),세종특별자치시,3, 2023-12-12
본인증,교육연구시설,주거용 이외,29.49,울산,UNIST 3D프린팅 융합기술센터 신축공사,울산과학기술원,5, 2023-12-12
예비인증,교육연구시설,주거용 이외,46.79,충북,한국폴리텍대학 청주캠퍼스 반도체인력양성센터,한국폴리텍대학청주캠퍼스,4, 2023-12-12
본인증,노유자시설,주거용 이외,31.08,서울,제2노인복지관,노원구청,5, 2023-12-12
본인증,문화 및 집회시설,주거용 이외,77.06,경기,고양드론앵커센터,고양시청,3, 2023-12-11
본인증,교정 및 군사 시설,주거용 이외,68.59,인천,20-해병-간부숙소 신축 설계용역,국방시설본부,3, 2023-12-11
예비인증,제2종 근린생활시설,주거용 이외,34.18,경북,영덕해상 케이블카 상부정류장(증축),주식회사 영덕해상케이블카,5, 2023-12-11
예비인증,제2종 근린생활시설,주거용 이외,26.76,경북,영덕해상 케이블카 하부정류장(신축),주식회사 영덕해상케이블카,5, 2023-12-11
예비인증,교육연구시설,주거용 이외,27.93,경기,도둔초 급식실 및 교실 증축 ,경기도동두천양주교육지원청,5, 2023-12-11
예비인증,운동시설,주거용 이외,35.28,경기,라온 센터,양평군청,5, 2023-12-11
본인증,문화 및 집회시설,주거용 이외,26.87,충북,담수자원 종 보존시설 및 민물고기 아쿠아리움,충북개발공사,5, 2023-12-11
예비인증,노유자시설,주거용 이외,21.21,대구,지산 종합사회복지관 건립사업,대구도시공사,5, 2023-12-11
본인증,업무시설,주거용 이외,34.93,충북,청주수곡 행복주택(비주거),한국토지주택공사 충북지사,5, 2023-12-11
예비인증,공동주택,주거용,29.70,경북,상주교육지원청 직원관사,상주교육지원청,5, 2023-12-11
예비인증,"임대주택 (영구, 국민, 공공)",주거용,32.65,경북,칠곡 왜관지구 행정문화복합플랫폼 및 행복주택 건립사업(주거동),경상북도개발공사,5, 2023-12-11
예비인증,교육연구시설,주거용 이외,71.50,경남,창원시 환경교육/평생학습 복합센터,사화도시개발(주),3, 2023-12-11
예비인증,교육연구시설,주거용 이외,41.54,전남,탄소포집활용 실증지원센터(기술연구지원동),한국화학연구원,4, 2023-12-08
본인증,업무시설,주거용 이외,61.46,전남,화순군 청사 별관 신축공사,화순군청,3, 2023-12-08
예비인증,노유자시설,주거용 이외,21.70,강원,인제복지문화센터 생활 SOC 복합화 사업,인제군청,5, 2023-12-08
예비인증,교정 및 군사 시설,주거용 이외,45.45,경남,해양무인무장체계종합연구동 증축공사,국방과학연구소,4, 2023-12-08
예비인증,제2종 근린생활시설,주거용 이외,24.27,제주,서귀포시 남원읍 남원생활체육관 다목적실 신축사업,남원읍사무소,5, 2023-12-08
예비인증,제2종 근린생활시설,주거용 이외,58.04,전남,고흥 드론체험놀이터 조성사업,고흥군청,4, 2023-12-08
본인증,교정 및 군사 시설,주거용 이외,67.94,경북,특수수색대대통합생활관,국방시설본부,3, 2023-12-08
예비인증,교육연구시설,주거용 이외,39.37,대전,KAIST 청노화 메타융합관,한국과학기술원,5, 2023-12-08
본인증,교정 및 군사 시설,주거용 이외,39.48,제주,제주해안경비단 2경비대 증축공사,제주특별자치도지방경찰청,5, 2023-12-08
예비인증,업무시설,주거용 이외,32.36,전남,스타트업센터 및 라이프업센터,광양시청,5, 2023-12-08
본인증,교육연구시설,주거용 이외,38.34,대구,종로초등학교 교실 및 강당 증축공사,포스시티(주),5, 2023-12-07
예비인증,공장,주거용 이외,21.51,부산,에코델타 첨단지식산업센터,부산광역시 건설본부,5, 2023-12-07
예비인증,노유자시설,주거용 이외,32.90,경북,맘지원센터 건립 및 주차환경개선사업,김천시청,5, 2023-12-07
예비인증,교육연구시설,주거용 이외,31.80,경기,성신초 다목적체육관 증축공사,고양교육지원청,5, 2023-12-07
본인증,업무시설,주거용 이외,36.54,경남,창원 종합 자원봉사센터 ,창원시청,5, 2023-12-07
예비인증,제1종 근린생활시설,주거용 이외,45.80,경북,문경 팩토리아 비즈니스센터,문경시청,4, 2023-12-07
예비인증,업무시설,주거용 이외,35.77,경기,중부지방고용노동청 경기지청,고용노동부 경기지청,5, 2023-12-07
본인증,운동시설,주거용 이외,73.71,제주,서귀포시 남원읍 문화체육복합센터,제주특별자치도 서귀포시청,3, 2023-12-07
예비인증,운동시설,주거용 이외,29.61,광주,남구 국민체육센터,광주광역시 남구,5, 2023-12-07
예비인증,운동시설,주거용 이외,23.45,전남,벌교문화복합센터,보성군,5, 2023-12-07
본인증,제1종 근린생활시설,주거용 이외,23.47,대구,행복북구 통합 가족센터,북구청,5, 2023-12-07
예비인증,공장,주거용 이외,40.33,경남,김해 오픈이노베이션 지식산업센터,김해시청,4, 2023-12-06
예비인증,제2종 근린생활시설,주거용 이외,35.66,부산,신전항 어울림센터,한국농어촌공사 경남지역본부,5, 2023-12-06
본인증,교정 및 군사 시설,주거용 이외,99.27,서울,수방사 서대문구 간부숙소,국방시설본부,2, 2023-12-06
본인증,운동시설,주거용 이외,33.65,경기,화성시 실내배드민턴장,화성시 지역개발사업소,5, 2023-12-06
예비인증,교육연구시설,주거용 이외,28.15,인천,선원초 교사동 증축공사,강화교육지원청,5, 2023-12-05
예비인증,제1종 근린생활시설,주거용 이외,30.76,광주,양동다목적센터,광주광역시 서구청,5, 2023-12-05
예비인증,제1종 근린생활시설,주거용 이외,44.57,전남,곡성군 디톡스테라피 거점센터(1동),전남곡성군청,4, 2023-12-05
예비인증,교육연구시설,주거용 이외,117.80,경북,배터리공유스테이션 통합관제허브센터 신축 설계용역,(재)경북테크노파크,1, 2023-12-05
본인증,교육연구시설,주거용 이외,32.35,대구,대구 범어초등학교,수성범어지역주택조합,5, 2023-12-05
예비인증,제1종 근린생활시설,주거용 이외,38.27,전남,동수오량농공단지 복합문화센터,나주시청,5, 2023-12-04
예비인증,교육연구시설,주거용 이외,25.95,강원,강릉원주대 자연1호관 개축,강릉원주대학교,5, 2023-12-04
예비인증,제1종 근린생활시설,주거용 이외,30.19,충북,청성면 산성문화마을 주거플랫폼 생활SOC 조성사업,옥천군청,5, 2023-12-04
예비인증,문화 및 집회시설,주거용 이외,59.20,서울,강서(서남권) 안전교육센터,강서구청,4, 2023-12-04
예비인증,제1종 근린생활시설,주거용 이외,90.90,충북,(주38동)충북지역협력단 수질검사센터,한국수자원공사,2, 2023-12-04
예비인증,교육연구시설,주거용 이외,25.05,경기,광명초 그린스마트스쿨 조성공사,경기도광명교육지원청,5, 2023-12-04
예비인증,교정 및 군사 시설,주거용 이외,40.26,경남,예비전력대 본관,국방시설본부,4, 2023-12-01
예비인증,업무시설,주거용 이외,62.64,경기,오산우체국,우정사업조달센터,3, 2023-12-01
예비인증,교육연구시설,주거용 이외,43.30,경남,진주교대 예술관(가칭),진주교육대학교,4, 2023-12-01
예비인증,문화 및 집회시설,주거용 이외,27.68,대구,들안예술마을 미술관 조성 및 리모델링 공사,수성구청,5, 2023-12-01
본인증,교정 및 군사 시설,주거용 이외,26.43,강원,65여단군수지원대대 병영생활관,국방시설본부,5, 2023-12-01
예비인증,제1종 근린생활시설,주거용 이외,132.00,전북,덕유산 적상분소,덕유산국립공원사무소,1, 2023-12-01
예비인증,제1종 근린생활시설,주거용 이외,30.36,충북,감곡 아람커뮤니티센터,음성군청,5, 2023-12-01
예비인증,교육연구시설,주거용 이외,27.28,광주,호남권질병대응센터 청사,질병관리청,5, 2023-12-01
예비인증,노유자시설,주거용 이외,30.89,부산,국공립어린이집·가족센터 생활SOC복합화 건립사업,연제구청,5, 2023-12-01
예비인증,교정 및 군사 시설,주거용 이외,32.08,경기,9사단 포병여단 본부 행정동 신축(22-북-127),국방시설본부,5, 2023-11-30
예비인증,교육연구시설,주거용 이외,49.09,경북,와룡초등학교 체육관,경상북도안동교육지원청,4, 2023-11-30
예비인증,노유자시설,주거용 이외,28.90,경기,시흥시 정왕권 노인복지관 건립사업,시흥시청,5, 2023-11-30
예비인증,제1종 근린생활시설,주거용 이외,45.74,경기,파주출판문화정보국가산단 복합문화센터,파주시청,4, 2023-11-30
예비인증,업무시설,주거용 이외,31.89,전북,남원 노암동 행정복지센터,남원시청,5, 2023-11-30
예비인증,교육연구시설,주거용 이외,70.26,전북,남원교육지원청 교직원 통합관사 이전 신축공사,전라북도남원교육지원청,3, 2023-11-30
예비인증,업무시설,주거용 이외,25.11,경기,구)청사부지 복합건축물 건립공사,gwangju,5, 2023-11-30
본인증,업무시설,주거용 이외,68.60,경기,한국국토정보공사 고양지사,한국국토정보공사 경기지역본부,3, 2023-11-30
본인증,제1종 근린생활시설,주거용 이외,25.90,전북,주천면행복나눔센터,한국농어촌공사 무진장지사,5, 2023-11-30
본인증,제1종 근린생활시설,주거용 이외,51.40,광주,북구 우산동 행정복지센터,광주광역시북구,4, 2023-11-30
예비인증,교육연구시설,주거용 이외,37.11,경남,거창중학교 교사동 그린스마트 미래학교 개축 및 증축사업,경상남도거창교육지원청,5, 2023-11-30
예비인증,위험물 저장 및 처리 시설,주거용 이외,23.41,충남,당진기지 비상출동 대기시설 설계용역,한국가스공사,5, 2023-11-30
예비인증,제1종 근린생활시설,주거용 이외,28.20,인천,인천 복합커뮤니티센터,인천광역시 중구청,5, 2023-11-30
예비인증,교육연구시설,주거용 이외,81.71,경기,김포제일공업고 그린스마트 미래학교,김포교육지원청,2, 2023-11-29
예비인증,"임대주택 (영구, 국민, 공공)",주거용,32.47,경기,광명소하지구 공공시설부지 복합개발 신축공사,광명도시공사,5, 2023-11-29
예비인증,운동시설,주거용 이외,32.67,경기,위례 복합체육시설 건립 설계용역,하남시청,5, 2023-11-29
예비인증,제1종 근린생활시설,주거용 이외,39.99,전북,서래포구 어촌뉴딜 300 사업 (서래삶문화센터),군산시농업기술센터,5, 2023-11-29
본인증,교육연구시설,주거용 이외,25.95,전남,의대 화순캠퍼스 교육복합동,전남대학교,5, 2023-11-29
예비인증,제1종 근린생활시설,주거용 이외,55.35,전북,반디키움센터,한국농어촌공사 무진장지사,4, 2023-11-29
예비인증,교육연구시설,주거용 이외,51.85,제주,오현고등학교 급식소 및 다목적교실 증축공사,오현고등학교,4, 2023-11-29
예비인증,제1종 근린생활시설,주거용 이외,52.97,충남,도고온천지역 혁신플랫폼 SPAce@DOGO,아산시청,4, 2023-11-29
본인증,문화 및 집회시설,주거용 이외,63.60,전북,오수반려누리,임실군청,3, 2023-11-29
예비인증,운동시설,주거용 이외,57.72,경기,남양주시 도농공원 문화체육시설 신축공사,(주)디트루,4, 2023-11-29
예비인증,제1종 근린생활시설,주거용 이외,40.59,경북,K-water 청송권지사 관리동,한국수자원공사,4, 2023-11-28
본인증,제1종 근린생활시설,주거용 이외,135.00,울산,온산정수장관리동,한국수자원공사,1, 2023-11-28
예비인증,교정 및 군사 시설,주거용 이외,35.92,경북,영천 동원훈련장 생활관,국방시설본부,5, 2023-11-28
